Row_ID,Ship_Mode,Shipping_Cost,Order_Priority
303,"Standard Class",5.33,Medium
304,"Standard Class",5.37,Medium
305,"Standard Class",5.60,Medium
306,"Standard Class",2.86,Medium
307,"Standard Class",16.85,Medium
308,"Standard Class",24.54,Medium
309,"Standard Class",12.65,Low
310,"Standard Class",12.44,Low
311,"Standard Class",4.39,Low
312,"Standard Class",22.52,Low
313,"Standard Class",1.67,Medium
314,"Standard Class",3.80,Medium
315,"Standard Class",7.34,Medium
316,"Standard Class",1.55,Medium
317,"First Class",58.46,High
318,"First Class",8.48,High
319,"First Class",15.74,High
320,"First Class",4.65,High
321,"Standard Class",3.84,Medium
322,"Standard Class",3.55,Medium
323,"Second Class",0.53,Medium
324,"Standard Class",0.86,Medium
325,"Standard Class",0.18,Medium
326,"Standard Class",5.56,Medium
327,"Standard Class",1.11,Medium
328,"Standard Class",0.59,Medium
329,"Standard Class",10.81,Medium
330,"Standard Class",4.55,Medium
331,"Standard Class",4.09,High
332,"Standard Class",6.46,Medium
333,"Standard Class",2.44,Medium
334,"Standard Class",19.09,High
335,"Standard Class",25.61,Medium
336,"Standard Class",8.62,High
337,"Standard Class",15.09,High
338,"First Class",59.65,High
339,"Standard Class",1.21,Medium
340,"Standard Class",22.15,Medium
341,"Standard Class",16.55,Medium
342,"Standard Class",0.80,Medium
343,"Standard Class",4.30,Medium
344,"Standard Class",10.76,Medium
345,"Standard Class",84.24,Medium
346,"First Class",2.96,Medium
347,"First Class",58.45,Medium
348,"Standard Class",40.39,Medium
349,"Standard Class",18.28,Medium
350,"Standard Class",1.70,Medium
351,"Second Class",0.54,Critical
352,"Second Class",58.67,Critical
353,"Second Class",29.66,Critical
354,"Second Class",17.97,Critical
355,"Second Class",15.68,Critical
356,"Second Class",5.58,Critical
357,"First Class",59.97,Critical
358,"First Class",10.24,Critical
359,"First Class",2.08,Critical
360,"First Class",3.70,Critical
361,"Standard Class",3.82,Medium
362,"Standard Class",1.12,Medium
363,"Standard Class",83.52,Medium
364,"Standard Class",0.57,Medium
365,"Second Class",52.31,High
366,"Second Class",23.65,High
367,"First Class",17.80,High
368,"First Class",8.16,High
369,"First Class",28.15,High
370,"First Class",94.47,High
371,"First Class",13.88,Medium
372,"First Class",47.81,Medium
373,"First Class",21.73,Medium
374,"First Class",39.12,Medium
375,"First Class",2.02,Medium
376,"Standard Class",13.34,Low
377,"Standard Class",17.33,Low
378,"Standard Class",8.55,Medium
379,"Standard Class",89.12,Medium
380,"Standard Class",15.25,Medium
381,"Standard Class",12.98,Medium
382,"Standard Class",3.10,Medium
383,"Standard Class",12.78,Low
384,"Standard Class",9.05,Low
385,"Standard Class",3.24,Low
386,"Same Day",16.20,High
387,"Standard Class",13.04,High
388,"First Class",1.67,Medium
389,"Standard Class",15.36,Medium
390,"Second Class",17.80,Medium
391,"Second Class",6.98,High
392,"Second Class",3.42,High
393,"Second Class",22.41,High
394,"Second Class",4.67,High
395,"Second Class",111.23,High
396,"Second Class",0.74,High
397,"Standard Class",1.86,Medium
398,"Second Class",27.30,Medium
399,"Second Class",1.07,Medium
400,"Second Class",8.33,Medium
401,"First Class",85.44,Medium
402,"Standard Class",6.29,Medium
403,"First Class",3.46,Medium
404,"First Class",3.87,Medium
405,"Standard Class",0.49,Medium
406,"Standard Class",4.85,Medium
407,"Second Class",22.98,High
408,"Second Class",188.01,High
409,"Standard Class",3.73,Medium
410,"Standard Class",15.44,Medium
411,"Standard Class",0.24,Medium
412,"Standard Class",25.20,Medium
413,"Standard Class",1.05,Medium
414,"Standard Class",19.08,Medium
415,"Standard Class",9.79,Medium
416,"Standard Class",5.99,Medium
417,"Standard Class",3.86,Medium
418,"Standard Class",2.14,High
419,"Standard Class",7.76,Medium
420,"Standard Class",1.02,Medium
421,"First Class",47.54,High
422,"First Class",1.68,High
423,"First Class",37.16,High
424,"First Class",205.11,High
425,"Standard Class",1.09,Medium
426,"Same Day",15.85,Critical
427,"Standard Class",2.09,Medium
428,"Standard Class",2.57,Medium
429,"Second Class",2.26,High
430,"Second Class",1.90,High
431,"Second Class",2.92,High
432,"Standard Class",11.84,Medium
433,"Standard Class",5.08,Medium
434,"Standard Class",93.75,Medium
435,"Standard Class",8.36,Medium
436,"Standard Class",5.67,Medium
437,"Standard Class",18.54,Medium
438,"Standard Class",0.08,Medium
439,"Second Class",111.75,Medium
440,"Second Class",6.46,Medium
441,"Second Class",61.01,Medium
442,"Standard Class",3.26,Medium
443,"Standard Class",23.10,Medium
444,"Second Class",2.81,High
445,"Standard Class",24.62,Low
446,"Standard Class",0.53,Low
447,"Standard Class",2.68,Medium
448,"Standard Class",0.56,Medium
449,"Standard Class",8.65,Medium
450,"Standard Class",3.51,Medium
451,"Standard Class",2.84,Medium
452,"Second Class",50.13,High
453,"Second Class",54.01,High
454,"First Class",3.81,High
455,"First Class",0.20,High
456,"Standard Class",70.85,High
457,"Standard Class",14.79,High
458,"Standard Class",2.24,Medium
459,"Standard Class",130.77,Medium
460,"First Class",4.30,Critical
461,"Standard Class",2.15,Medium
462,"Standard Class",6.57,Medium
463,"Standard Class",6.49,Medium
464,"Standard Class",2.84,Medium
465,"Standard Class",1.75,Medium
466,"Standard Class",54.73,Medium
467,"Standard Class",7.07,Medium
468,"Standard Class",5.76,Medium
469,"Standard Class",7.22,Low
470,"Second Class",11.70,Critical
471,"Second Class",6.06,Medium
472,"Standard Class",2.23,Medium
473,"Standard Class",13.41,Medium
474,"Standard Class",15.56,Medium
475,"Standard Class",3.53,Low
476,"Standard Class",10.47,Low
477,"Standard Class",17.84,Low
478,"Standard Class",11.58,Low
479,"Standard Class",14.01,Low
480,"Standard Class",318.17,Low
481,"Standard Class",2.03,Low
482,"First Class",5.44,High
483,"Standard Class",0.64,Medium
484,"Standard Class",13.14,Medium
485,"Second Class",64.68,Medium
486,"Standard Class",7.43,Medium
487,"Standard Class",2.69,Medium
488,"Second Class",35.78,Medium
489,"Second Class",3.95,High
490,"Standard Class",0.81,Medium
491,"Standard Class",6.93,Medium
492,"Standard Class",0.48,Medium
493,"Standard Class",8.32,High
494,"Standard Class",13.04,Medium
495,"Standard Class",2.87,Medium
496,"Standard Class",3.26,Medium
497,"First Class",10.84,Medium
498,"Standard Class",23.55,High
499,"Standard Class",103.26,High
500,"First Class",286.46,Critical
501,"Second Class",4.44,Medium
502,"Second Class",6.19,Medium
503,"Second Class",85.31,High
504,"Second Class",20.15,High
505,"Standard Class",0.42,Medium
506,"Same Day",24.39,Critical
507,"Second Class",21.06,Medium
508,"Second Class",9.46,Medium
509,"Second Class",243.06,Medium
510,"Second Class",9.14,Medium
511,"Standard Class",11.85,Medium
512,"Standard Class",51.53,Medium
513,"Second Class",106.69,Medium
514,"Second Class",2.09,Medium
515,"Second Class",20.08,Medium
516,"Second Class",8.17,Medium
517,"Second Class",11.68,High
518,"Second Class",12.32,High
519,"Second Class",1.51,High
520,"Standard Class",49.69,Low
521,"Standard Class",12.17,Low
522,"Standard Class",8.43,Low
523,"Standard Class",96.50,Low
524,"Standard Class",0.48,High
525,"Standard Class",29.62,High
526,"Standard Class",22.01,High
527,"Standard Class",0.77,High
528,"Standard Class",22.47,High
529,"Standard Class",77.15,Low
530,"Standard Class",3.99,High
531,"Standard Class",56.24,High
532,"Standard Class",88.20,High
533,"Standard Class",8.37,High
534,"Standard Class",20.01,High
535,"Standard Class",5.72,Medium
536,"Standard Class",28.10,Medium
537,"Standard Class",25.72,Medium
538,"Standard Class",15.28,Medium
539,"Standard Class",2.21,Medium
540,"Standard Class",87.29,Medium
541,"Standard Class",120.86,Medium
542,"Second Class",19.09,High
543,"Second Class",24.95,High
544,"Standard Class",6.21,Medium
545,"Standard Class",6.16,Medium
546,"Standard Class",1.57,Medium
547,"Standard Class",2.01,Low
548,"Standard Class",2.72,Medium
549,"Standard Class",1.73,Medium
550,"Second Class",1.75,Medium
551,"Second Class",18.98,Medium
552,"Standard Class",146.56,Medium
553,"Standard Class",4.06,Medium
554,"First Class",3.24,Critical
555,"First Class",24.61,Critical
556,"First Class",6.08,Critical
557,"First Class",89.69,Critical
558,"First Class",47.84,Critical
559,"First Class",21.53,Critical
560,"Second Class",2.14,Medium
561,"Second Class",7.84,High
562,"Second Class",32.74,High
563,"Standard Class",3.81,Medium
564,"Standard Class",5.25,Medium
565,"Standard Class",23.90,Medium
566,"Standard Class",14.95,Medium
567,"Second Class",10.79,Medium
568,"Second Class",6.47,Medium
569,"Same Day",5.83,High
570,"Standard Class",1.76,High
571,"Standard Class",6.88,Medium
572,"Second Class",21.42,Medium
573,"Second Class",30.55,Medium
574,"Standard Class",26.13,Medium
575,"Standard Class",1.91,Medium
576,"Standard Class",6.87,Medium
577,"Standard Class",48.08,Medium
578,"Second Class",5.48,High
579,"Second Class",80.32,High
580,"Second Class",53.56,High
581,"Second Class",347.82,High
582,"Second Class",34.00,High
583,"Second Class",12.93,High
584,"Second Class",0.56,High
585,"Second Class",5.70,High
586,"Second Class",0.68,High
587,"Standard Class",2.97,Medium
588,"Second Class",61.01,High
589,"Second Class",75.54,High
590,"Second Class",0.32,Medium
591,"Second Class",5.41,Medium
592,"Second Class",20.40,Medium
593,"Second Class",5.41,Medium
594,"Second Class",7.56,Medium
595,"Second Class",3.66,Medium
596,"Second Class",5.65,Medium
597,"Standard Class",6.34,High
598,"Standard Class",0.96,Medium
599,"Standard Class",2.47,Medium
600,"Standard Class",6.12,Medium
601,"Standard Class",0.99,Low
602,"Standard Class",1.91,Low
603,"First Class",37.03,Medium
604,"Standard Class",0.57,Low
605,"Standard Class",30.74,Low
606,"Standard Class",4.45,Low
607,"Standard Class",3.61,Low
608,"Standard Class",2.96,Low
609,"First Class",6.92,Critical
610,"Same Day",5.56,Medium
611,"Second Class",21.69,High
612,"Standard Class",3.26,Medium
613,"Standard Class",118.72,Medium
614,"Second Class",13.06,Medium
615,"Second Class",4.11,Medium
616,"Second Class",0.32,Medium
617,"Standard Class",60.83,Medium
618,"Standard Class",7.14,Medium
619,"Standard Class",15.36,Medium
620,"Second Class",139.49,High
621,"Second Class",18.86,High
622,"Second Class",227.63,High
623,"Standard Class",15.37,Low
624,"Standard Class",3.03,Low
625,"Standard Class",78.06,Low
626,"Standard Class",4.83,Low
627,"Second Class",9.95,Medium
628,"Standard Class",0.42,Medium
629,"Second Class",0.33,Medium
630,"Standard Class",16.37,Medium
631,"Standard Class",8.04,Medium
632,"Standard Class",5.57,Medium
633,"Standard Class",8.13,Medium
634,"Standard Class",6.59,Medium
635,"Standard Class",18.98,High
636,"First Class",177.15,High
637,"First Class",43.40,High
638,"Standard Class",3.38,High
639,"Standard Class",20.26,High
640,"First Class",40.05,High
641,"Second Class",142.41,Critical
642,"Second Class",3.99,Critical
643,"Second Class",235.08,Medium
644,"Second Class",65.41,Medium
645,"Second Class",2.81,Medium
646,"Second Class",34.46,High
647,"Second Class",7.67,High
648,"Standard Class",4.55,Low
649,"Standard Class",1.80,Low
650,"First Class",149.94,Medium
651,"First Class",0.83,Medium
652,"Standard Class",0.95,Medium
653,"Standard Class",6.57,Medium
654,"Standard Class",2.34,Medium
655,"Standard Class",1.91,Medium
656,"Standard Class",6.39,Medium
657,"Standard Class",7.13,Medium
658,"Standard Class",5.95,Medium
659,"Standard Class",2.48,Medium
660,"Standard Class",4.54,Medium
661,"Standard Class",0.13,Medium
662,"Standard Class",21.44,Medium
663,"Second Class",4.89,Medium
664,"Second Class",13.77,Medium
665,"Second Class",13.75,Medium
666,"Standard Class",4.67,Medium
667,"Standard Class",47.27,Medium
668,"Standard Class",1.21,Medium
669,"Standard Class",12.57,Medium
670,"Standard Class",1.40,Medium
671,"Standard Class",15.08,High
672,"Standard Class",9.94,High
673,"First Class",27.78,Medium
674,"First Class",0.45,Medium
675,"First Class",4.66,Medium
676,"First Class",65.80,Medium
677,"First Class",1.92,Medium
678,"Standard Class",32.74,Medium
679,"First Class",0.37,Medium
680,"Second Class",5.52,Medium
681,"Standard Class",13.84,Medium
682,"Second Class",13.75,Critical
683,"Second Class",6.94,Critical
684,"Standard Class",70.14,Medium
685,"First Class",30.06,High
686,"First Class",69.28,High
687,"Standard Class",18.01,Medium
688,"Standard Class",66.07,Medium
689,"Standard Class",2.40,Medium
690,"Standard Class",0.12,Medium
691,"Standard Class",6.76,Medium
692,"Standard Class",9.36,High
693,"Standard Class",1.41,High
694,"Standard Class",207.89,High
695,"Standard Class",0.33,Medium
696,"Standard Class",4.85,Medium
697,"Standard Class",1.53,Low
698,"Second Class",57.00,Critical
699,"Second Class",10.74,Critical
700,"Second Class",2.22,Critical
701,"Second Class",21.67,Critical
702,"Second Class",5.97,Critical
703,"Standard Class",5.80,Medium
704,"Standard Class",14.34,Medium
705,"First Class",3.94,High
706,"First Class",2.24,High
707,"First Class",34.45,High
708,"Standard Class",5.70,Medium
709,"Standard Class",5.02,Medium
710,"Standard Class",10.95,Medium
711,"Standard Class",13.71,Medium
712,"Second Class",8.84,High
713,"Second Class",0.69,High
714,"Second Class",31.31,High
715,"Second Class",4.89,High
716,"Standard Class",12.90,High
717,"Standard Class",2.36,High
718,"Standard Class",5.90,Medium
719,"Standard Class",2.61,Medium
720,"Standard Class",5.61,Medium
721,"Standard Class",2.68,Medium
722,"Standard Class",25.67,Medium
723,"Standard Class",2.38,Medium
724,"Standard Class",14.62,Medium
725,"Standard Class",0.60,Medium
726,"Standard Class",29.70,Medium
727,"Standard Class",95.60,Medium
728,"Standard Class",34.60,Medium
729,"Standard Class",13.04,Medium
730,"Second Class",5.52,Medium
731,"Second Class",6.38,Medium
732,"Standard Class",3.73,Low
733,"Standard Class",0.98,Low
734,"Standard Class",1.04,Medium
735,"First Class",7.40,Critical
736,"Standard Class",2.08,Medium
737,"Standard Class",5.76,Medium
738,"Standard Class",2.48,Medium
739,"First Class",3.68,High
740,"Standard Class",3.87,Medium
741,"Standard Class",4.58,Medium
742,"Standard Class",3.23,Medium
743,"First Class",0.75,Medium
744,"Second Class",5.44,High
745,"Second Class",9.38,High
746,"Second Class",0.63,High
747,"Standard Class",10.87,Medium
748,"Standard Class",3.44,Medium
749,"Standard Class",93.32,Medium
750,"First Class",49.33,Critical
751,"First Class",79.19,Critical
752,"Standard Class",3.52,Medium
753,"Standard Class",4.80,Medium
754,"Standard Class",4.22,Medium
755,"Standard Class",4.14,Medium
756,"Standard Class",6.52,Medium
757,"Standard Class",13.89,Medium
758,"Standard Class",1.18,Medium
759,"First Class",11.43,High
760,"First Class",3.56,High
761,"First Class",46.06,Critical
762,"First Class",24.22,Critical
763,"First Class",20.38,Critical
764,"First Class",303.63,Critical
765,"First Class",79.38,Critical
766,"Second Class",5.08,Medium
767,"Second Class",214.42,Medium
768,"Second Class",0.97,Medium
769,"Standard Class",20.73,High
770,"Standard Class",58.34,Medium
771,"Standard Class",7.26,Medium
772,"Standard Class",116.89,High
773,"Standard Class",32.74,Medium
774,"Standard Class",10.79,Medium
775,"Standard Class",84.27,Medium
776,"First Class",60.34,Critical
777,"Standard Class",96.18,High
778,"Second Class",9.80,Medium
779,"Standard Class",13.62,Medium
780,"Standard Class",27.15,Medium
781,"Standard Class",2.34,High
782,"First Class",10.08,Medium
783,"Standard Class",4.01,Medium
784,"Standard Class",36.20,Medium
785,"Standard Class",57.33,Medium
786,"Standard Class",2.73,Medium
787,"Second Class",0.88,Medium
788,"Second Class",59.01,Medium
789,"First Class",1.69,Medium
790,"First Class",8.24,Medium
791,"First Class",7.49,Medium
792,"First Class",99.20,Medium
793,"First Class",67.22,Medium
794,"Second Class",8.54,Critical
795,"Standard Class",2.26,Medium
796,"Standard Class",2.20,Medium
797,"First Class",3.66,High
798,"First Class",3.63,High
799,"Standard Class",8.36,Medium
800,"Standard Class",32.69,Medium
801,"Standard Class",36.95,Medium
802,"Standard Class",0.54,Medium
803,"Standard Class",2.81,Medium
804,"Second Class",2.14,High
805,"Second Class",16.02,High
806,"Standard Class",8.08,Medium
807,"Standard Class",3.10,Medium
808,"Second Class",23.07,Medium
809,"Standard Class",5.11,Medium
810,"Standard Class",13.28,Medium
811,"Standard Class",0.61,Medium
812,"Standard Class",51.44,Medium
813,"Standard Class",11.40,High
814,"Standard Class",10.48,Medium
815,"Standard Class",7.56,Medium
816,"Standard Class",2.46,Medium
817,"Standard Class",81.61,Medium
818,"Standard Class",2.32,Medium
819,"Standard Class",36.02,Medium
820,"Standard Class",4.37,Medium
821,"First Class",78.83,High
822,"Standard Class",3.50,High
823,"Standard Class",6.34,High
824,"Standard Class",0.67,Medium
825,"Standard Class",30.75,Medium
826,"Standard Class",5.15,Medium
827,"Second Class",109.11,High
828,"Second Class",10.18,High
829,"Second Class",3.34,High
830,"Standard Class",5.03,Medium
831,"Standard Class",1.30,Medium
832,"First Class",118.60,High
833,"Standard Class",4.97,Low
834,"Standard Class",13.24,Medium
835,"Standard Class",1.07,Medium
836,"Standard Class",2.01,Medium
837,"Standard Class",7.82,Medium
838,"Standard Class",1.86,Medium
839,"Standard Class",2.68,Medium
840,"First Class",33.86,Medium
841,"Standard Class",4.60,Medium
842,"Second Class",3.11,Medium
843,"Standard Class",1.41,Medium
844,"Standard Class",32.43,Low
845,"Second Class",40.33,Medium
846,"Second Class",1.40,Medium
847,"Second Class",0.29,Medium
848,"Second Class",83.04,Medium
849,"Second Class",10.69,Medium
850,"Standard Class",5.95,Medium
851,"Standard Class",5.09,Medium
852,"Standard Class",35.56,Medium
853,"Standard Class",11.68,Medium
854,"Standard Class",4.46,High
855,"Second Class",7.06,High
856,"Standard Class",4.34,High
857,"Standard Class",2.94,High
858,"Standard Class",2.86,High
859,"Standard Class",9.19,High
860,"Standard Class",6.11,High
861,"Same Day",6.99,Medium
862,"Same Day",1.87,Medium
863,"Standard Class",1.38,Medium
864,"Standard Class",21.44,Medium
865,"Standard Class",5.56,Medium
866,"Same Day",8.53,Medium
867,"Same Day",12.97,Medium
868,"Same Day",28.42,Medium
869,"Same Day",22.03,Medium
870,"Standard Class",0.97,Medium
871,"Standard Class",2.85,Medium
872,"Standard Class",6.25,Medium
873,"Second Class",23.00,Critical
874,"Standard Class",30.78,Medium
875,"Standard Class",58.61,High
