Row_ID,Order_ID,Sales,Profit,Discount
304,MX-2014-160402,46,18.54,0.00
305,MX-2014-130666,69,21.44,0.00
306,MX-2014-130666,66,15.12,0.00
307,MX-2013-160248,181,7.20,0.00
308,MX-2013-160248,199,89.64,0.00
309,MX-2011-109414,96,10.80,0.20
310,MX-2011-109414,117,0.00,0.00
311,MX-2011-109414,32,13.88,0.00
312,MX-2011-109414,268,15.96,0.00
313,US-2014-108203,29,-12.94,0.40
314,US-2014-108203,41,-26.57,0.40
315,US-2014-108203,83,-27.55,0.40
316,US-2014-108203,21,-13.98,0.40
317,MX-2014-164112,1601,368.16,0.00
318,MX-2014-164112,303,42.40,0.00
319,MX-2014-164112,54,13.40,0.00
320,US-2012-104374,61,-38.64,0.40
321,US-2011-104556,54,-3.68,0.40
322,MX-2014-139976,35,7.32,0.00
323,MX-2014-165568,38,2.60,0.00
324,MX-2011-108077,16,3.48,0.00
325,MX-2011-108077,5,1.80,0.00
326,MX-2011-108077,77,34.72,0.00
327,US-2014-161186,32,-6.39,0.40
328,MX-2013-156412,9,3.60,0.00
329,MX-2013-156412,128,6.40,0.00
330,MX-2013-156412,89,31.20,0.00
331,US-2012-162684,30,-9.06,0.40
332,MX-2011-161116,77,34.38,0.00
333,MX-2011-161116,65,23.56,0.00
334,MX-2014-112347,719,99.36,0.00
335,MX-2013-152065,296,133.02,0.00
336,US-2013-132934,65,-21.74,0.40
337,US-2013-132934,178,-38.59,0.40
338,US-2013-104283,238,-24.82,0.40
339,MX-2013-147242,15,3.36,0.00
340,MX-2013-147242,226,42.84,0.00
341,MX-2013-147242,260,20.76,0.00
342,MX-2011-165232,13,2.40,0.00
343,MX-2012-113502,76,11.36,0.00
344,MX-2012-113502,232,39.40,0.00
345,MX-2012-113502,1455,-54.59,0.20
346,MX-2014-122574,54,10.32,0.00
347,MX-2014-122574,329,147.80,0.00
348,US-2011-113166,723,-277.40,0.40
349,US-2011-113166,198,9.91,0.40
350,MX-2012-136455,22,10.50,0.00
351,US-2014-128587,2,-0.42,0.40
352,US-2014-128587,209,-7.71,0.40
353,US-2014-128587,155,-5.18,0.40
354,US-2014-128587,99,4.93,0.40
355,US-2014-128587,50,-31.48,0.40
356,US-2014-128587,23,-9.12,0.40
357,US-2013-151379,190,-435.92,0.70
358,US-2013-151379,28,-0.04,0.40
359,US-2013-151379,9,-1.26,0.40
360,US-2013-151379,17,0.50,0.40
361,MX-2012-131870,82,32.76,0.00
362,MX-2012-131870,19,8.32,0.00
363,MX-2012-131870,821,352.90,0.00
364,MX-2012-131870,10,4.04,0.00
365,MX-2013-121531,395,51.30,0.00
366,MX-2013-121531,244,56.10,0.00
367,US-2013-133081,148,-7.48,0.40
368,US-2013-128013,39,-16.90,0.40
369,US-2013-128013,300,-116.60,0.40
370,US-2013-128013,713,-264.85,0.40
371,MX-2014-131366,73,14.58,0.00
372,MX-2014-131366,1168,306.70,0.20
373,MX-2014-131366,111,1.10,0.00
374,MX-2014-131366,273,95.71,0.20
375,MX-2014-131366,19,-12.12,0.40
376,MX-2012-119333,127,31.80,0.20
377,MX-2012-119333,105,39.41,0.20
378,MX-2012-167794,229,11.40,0.00
379,MX-2011-137652,1369,670.90,0.00
380,MX-2011-137652,198,45.52,0.00
381,MX-2011-137652,145,12.96,0.00
382,MX-2012-110352,32,5.12,0.00
383,US-2012-148425,114,-51.24,0.40
384,US-2012-148425,62,-39.38,0.40
385,US-2012-148425,23,-3.86,0.40
386,MX-2011-145135,144,9.12,0.40
387,MX-2011-168774,172,84.40,0.00
388,MX-2011-139983,12,1.44,0.00
389,MX-2013-117688,196,41.10,0.00
390,MX-2014-131149,262,5.22,0.00
391,MX-2012-148054,52,18.26,0.20
392,MX-2012-148054,26,5.52,0.20
393,MX-2012-148054,137,-3.78,0.20
394,MX-2012-148054,35,-8.74,0.20
395,MX-2012-148054,659,-219.86,0.40
396,MX-2012-148054,5,1.23,0.20
397,MX-2014-118689,23,1.86,0.00
398,MX-2014-139367,219,24.64,0.20
399,MX-2014-139367,30,11.76,0.00
400,MX-2014-139367,52,16.12,0.00
401,US-2013-117555,554,-124.74,0.20
402,MX-2011-147284,99,13.80,0.00
403,MX-2014-105557,458,54.90,0.00
404,MX-2014-105557,37,13.50,0.00
405,US-2014-139444,5,-0.41,0.20
406,MX-2012-162656,133,15.37,0.40
407,MX-2013-157672,138,45.52,0.00
408,MX-2013-157672,1035,352.00,0.00
409,MX-2014-120334,47,0.00,0.00
410,MX-2014-120334,182,21.84,0.00
411,US-2014-158813,4,-3.58,0.70
412,US-2014-158813,403,-725.36,0.70
413,MX-2012-148131,12,1.44,0.00
414,MX-2012-148131,426,174.66,0.00
415,MX-2013-117254,125,37.30,0.00
416,MX-2013-117254,67,20.72,0.00
417,US-2013-135951,69,-45.86,0.40
418,US-2012-153983,24,-39.91,0.70
419,MX-2014-114930,67,10.04,0.00
420,MX-2014-120215,15,1.96,0.00
421,MX-2014-106901,244,102.20,0.00
422,MX-2014-106901,17,0.00,0.00
423,MX-2014-106901,516,175.44,0.00
424,MX-2014-106901,1774,212.76,0.00
425,MX-2012-159702,17,6.00,0.00
426,US-2013-106845,68,-22.70,0.40
427,MX-2013-161347,39,4.54,0.40
428,MX-2013-161347,63,26.80,0.00
429,US-2014-140424,24,-0.06,0.40
430,US-2014-140424,12,1.59,0.40
431,MX-2013-148432,19,1.28,0.40
432,MX-2012-164777,221,48.70,0.00
433,US-2012-121538,99,-14.81,0.40
434,MX-2013-148005,988,29.54,0.00
435,MX-2013-116050,119,15.48,0.00
436,MX-2013-116050,91,38.08,0.00
437,US-2011-122651,182,-267.31,0.70
438,US-2011-122651,2,-2.87,0.70
439,MX-2013-136826,870,295.88,0.00
440,MX-2013-136826,114,54.46,0.00
441,MX-2012-165974,1012,58.77,0.00
442,MX-2013-138219,38,7.56,0.00
443,MX-2013-138219,424,135.72,0.00
444,MX-2013-165939,96,3.80,0.00
445,MX-2011-168914,157,32.88,0.00
446,MX-2011-168914,4,0.74,0.00
447,MX-2012-133893,34,5.76,0.00
448,MX-2012-133893,9,1.24,0.00
449,US-2012-110716,199,-37.49,0.20
450,US-2012-110716,50,12.84,0.00
451,US-2012-110716,33,16.62,0.00
452,MX-2014-136973,463,92.54,0.20
453,MX-2014-136973,448,178.54,0.00
454,MX-2011-157084,23,1.38,0.00
455,MX-2011-157084,19,4.56,0.00
456,MX-2014-159863,576,235.37,0.00
457,MX-2014-159863,196,13.29,0.00
458,MX-2014-154480,92,34.14,0.00
459,MX-2014-154480,2321,-203.06,0.20
460,MX-2011-128083,13,0.42,0.40
461,MX-2014-132507,35,0.00,0.00
462,MX-2014-132507,97,41.64,0.00
463,MX-2014-132507,91,-18.14,0.40
464,MX-2011-158680,67,32.76,0.00
465,MX-2014-131730,30,13.44,0.00
466,MX-2012-123358,485,242.48,0.00
467,MX-2012-123358,144,-19.76,0.20
468,MX-2012-123358,91,4.54,0.00
469,MX-2013-160115,52,22.68,0.00
470,MX-2012-145128,33,13.60,0.00
471,MX-2011-146024,336,36.96,0.00
472,MX-2014-119424,41,11.12,0.00
473,MX-2014-147354,157,18.80,0.00
474,MX-2014-147354,246,39.36,0.00
475,MX-2013-123463,21,7.84,0.00
476,MX-2013-123463,99,49.20,0.00
477,MX-2013-123463,183,21.96,0.00
478,MX-2013-123463,74,33.28,0.00
479,MX-2013-123463,140,65.84,0.00
480,MX-2013-123463,1870,205.56,0.00
481,MX-2013-123463,25,10.32,0.00
482,MX-2012-133732,20,9.72,0.00
483,US-2014-116869,8,-2.35,0.40
484,US-2014-116869,178,-94.85,0.40
485,MX-2013-159520,501,37.57,0.20
486,MX-2012-162915,88,25.24,0.20
487,MX-2012-162915,31,9.02,0.20
488,MX-2012-129224,359,104.08,0.00
489,US-2014-108700,33,-13.57,0.40
490,MX-2013-160997,15,5.68,0.00
491,MX-2013-160997,78,13.30,0.00
492,MX-2013-160997,9,3.72,0.00
493,MX-2011-151498,78,8.60,0.00
494,MX-2013-153094,229,0.00,0.20
495,MX-2013-153094,55,19.98,0.20
496,MX-2011-109365,48,21.94,0.00
497,US-2014-154627,65,-35.64,0.40
498,MX-2012-167122,183,20.16,0.00
499,MX-2012-167122,1220,266.36,0.00
500,MX-2011-125045,1124,252.90,0.20
501,MX-2013-142118,63,22.68,0.00
502,MX-2013-142118,70,17.60,0.00
503,US-2014-135160,827,-303.14,0.40
504,US-2014-135160,136,15.74,0.40
505,US-2014-131786,10,-2.77,0.40
506,US-2012-142475,198,-17.36,0.20
507,MX-2012-122329,203,95.20,0.00
508,MX-2012-122329,103,8.16,0.00
509,MX-2012-122329,2014,419.80,0.00
510,MX-2012-122329,163,75.12,0.00
511,MX-2012-118080,145,13.00,0.00
512,MX-2012-118080,687,261.12,0.00
513,MX-2014-157798,759,21.28,0.00
514,MX-2014-157798,23,7.44,0.00
515,MX-2014-157798,163,45.60,0.00
516,MX-2014-157798,83,1.60,0.00
517,US-2014-127292,79,-23.68,0.40
518,US-2014-127292,77,-5.10,0.40
519,US-2014-127292,13,0.42,0.40
520,MX-2011-128699,332,3.30,0.00
521,US-2011-155894,107,-21.45,0.20
522,US-2011-155894,41,4.48,0.00
523,US-2011-155894,635,202.31,0.00
524,MX-2012-151911,5,1.12,0.00
525,MX-2013-144141,308,89.28,0.00
526,MX-2013-144141,153,0.00,0.00
527,MX-2013-144141,49,18.06,0.00
528,MX-2013-168858,199,51.64,0.00
529,MX-2014-100090,447,147.50,0.00
530,MX-2014-118766,74,3.60,0.00
531,MX-2014-118766,680,190.26,0.00
532,MX-2013-149916,482,100.88,0.00
533,MX-2013-149916,51,15.10,0.00
534,MX-2013-149916,162,71.10,0.00
535,MX-2012-154179,101,18.08,0.00
536,MX-2012-154179,348,97.38,0.00
537,MX-2012-154179,342,88.80,0.00
538,MX-2012-154179,173,71.00,0.00
539,MX-2012-154179,19,6.12,0.00
540,MX-2012-154179,1325,423.92,0.00
541,MX-2012-154179,1762,526.09,0.00
542,US-2013-130813,122,-24.50,0.40
543,US-2013-130813,119,-35.85,0.40
544,MX-2013-141852,61,15.78,0.00
545,MX-2013-141852,92,28.85,0.20
546,MX-2013-124898,41,0.00,0.00
547,US-2014-151526,17,-11.66,0.40
548,US-2013-117674,25,-11.47,0.40
549,US-2013-117674,46,-26.81,0.40
550,MX-2011-154116,22,9.30,0.00
551,MX-2011-154116,232,23.14,0.20
552,MX-2012-139514,2276,542.64,0.00
553,MX-2013-154228,82,31.92,0.00
554,US-2014-139941,15,-1.54,0.40
555,US-2014-139941,61,18.12,0.00
556,US-2014-139941,16,7.04,0.00
557,US-2014-139941,345,117.36,0.00
558,US-2014-139941,183,48.06,0.20
559,US-2014-139941,59,28.98,0.00
560,MX-2011-132815,20,2.44,0.00
561,US-2013-137589,170,-85.25,0.60
562,US-2013-137589,220,-126.41,0.60
563,MX-2014-101378,84,18.48,0.00
564,MX-2014-101378,44,10.62,0.00
565,MX-2014-101378,231,39.32,0.00
566,MX-2014-100811,413,20.62,0.20
567,US-2014-100237,83,-12.46,0.40
568,US-2014-100237,67,-25.60,0.40
569,MX-2013-130785,34,4.80,0.00
570,MX-2012-131569,18,3.84,0.00
571,MX-2012-100461,149,35.70,0.00
572,MX-2014-147655,344,106.56,0.00
573,MX-2014-147655,225,58.56,0.00
574,MX-2012-106740,378,165.98,0.00
575,MX-2012-106740,47,22.62,0.00
576,MX-2013-121153,103,27.72,0.00
577,MX-2013-108952,1016,101.52,0.20
578,MX-2011-158204,37,12.88,0.00
579,MX-2011-158204,477,147.24,0.00
580,MX-2011-158204,506,45.50,0.00
581,MX-2011-158204,2325,511.52,0.00
582,MX-2011-158204,194,73.56,0.00
583,MX-2011-158204,137,64.44,0.00
584,MX-2011-158204,3,1.42,0.00
585,MX-2011-158204,54,24.16,0.00
586,MX-2011-158204,5,2.16,0.00
587,MX-2014-129525,80,34.40,0.00
588,US-2014-136497,332,-210.62,0.40
589,US-2014-136497,489,-165.07,0.40
590,US-2011-132899,9,-4.84,0.40
591,US-2011-132899,122,-48.60,0.40
592,US-2011-132899,139,-25.46,0.40
593,US-2011-132899,45,0.74,0.40
594,US-2011-132899,80,-53.38,0.40
595,US-2011-132899,20,-1.69,0.40
596,US-2011-132899,68,-29.35,0.40
597,MX-2012-127166,40,8.04,0.00
598,MX-2014-121552,18,5.91,0.20
599,MX-2014-121552,30,-36.79,0.70
600,MX-2014-121552,178,-44.52,0.20
601,US-2014-129357,9,-4.26,0.40
602,US-2014-129357,10,-4.31,0.40
603,MX-2014-103002,184,75.32,0.00
604,MX-2014-125164,6,0.00,0.00
605,MX-2014-125164,246,98.28,0.00
606,MX-2014-125164,40,9.60,0.00
607,MX-2014-125164,24,1.38,0.00
608,MX-2014-125164,32,12.26,0.00
609,MX-2014-162306,130,28.68,0.00
610,MX-2011-149258,36,11.90,0.00
611,MX-2014-134733,129,10.22,0.00
612,MX-2014-124016,93,0.00,0.00
613,MX-2014-124016,3445,-775.38,0.20
614,MX-2012-128167,292,46.76,0.00
615,MX-2012-128167,44,13.74,0.00
616,MX-2012-128167,20,9.72,0.00
617,MX-2013-115805,705,190.32,0.00
618,US-2011-122385,106,-2.68,0.20
619,US-2011-122385,148,12.86,0.20
620,MX-2013-156062,753,134.21,0.00
621,MX-2013-156062,81,21.04,0.00
622,MX-2013-156062,882,148.35,0.00
623,MX-2011-147718,130,18.08,0.00
624,MX-2011-147718,18,5.32,0.00
625,MX-2011-147718,661,6.58,0.00
626,MX-2011-147718,27,12.06,0.00
627,US-2014-112690,57,-3.80,0.40
628,US-2014-163251,25,-1.70,0.40
629,MX-2014-129154,10,2.94,0.00
630,MX-2013-156447,370,25.86,0.00
631,MX-2013-156447,133,56.98,0.00
632,US-2012-111689,68,-22.70,0.40
633,US-2012-111689,95,37.88,0.00
634,MX-2014-102708,221,59.72,0.00
635,MX-2011-103709,206,6.80,0.40
636,MX-2012-148404,796,190.92,0.00
637,MX-2012-148404,143,1.40,0.00
638,US-2013-132325,42,-24.03,0.40
639,US-2013-132325,208,6.22,0.40
640,MX-2014-112704,205,40.55,0.20
641,MX-2012-145352,461,132.52,0.20
642,MX-2012-145352,20,-13.17,0.40
643,MX-2014-120579,3045,91.20,0.00
644,MX-2014-120579,784,312.45,0.00
645,MX-2014-120579,48,6.70,0.00
646,MX-2014-124674,222,97.44,0.00
647,MX-2014-124674,43,-22.16,0.40
648,MX-2014-159555,26,6.24,0.00
649,MX-2014-159555,27,12.06,0.00
650,MX-2014-141740,841,243.74,0.00
651,MX-2014-141740,15,2.80,0.00
652,US-2014-165750,20,-3.02,0.40
653,US-2014-165750,267,-178.08,0.40
654,US-2014-165750,33,-17.96,0.40
655,US-2013-151225,65,-38.08,0.40
656,US-2013-151225,121,-40.44,0.40
657,US-2013-151225,98,-56.97,0.40
658,US-2013-151225,158,-15.78,0.40
659,US-2013-151225,21,-0.01,0.40
660,US-2013-151225,45,-0.83,0.40
661,US-2013-151225,9,1.26,0.40
662,MX-2012-120089,382,79.57,0.00
663,MX-2014-153689,107,28.80,0.00
